,site_id,x,y,area_m2,lon,lat,log_area,cluster
0,nhdhr_131265697,299,66,20677006.2561894,0.250204168771103,-1.1688731025070336,2.1947492341397314,9
1,nhdhr_63033719,313,43,1916845.66409008,0.41990830269289375,-1.6068504000925863,0.7482001490095053,8
2,nhdhr_89423661,309,61,22153175.7186875,0.36906319395229875,-1.2725464319261388,2.236691060521196,9
4,nhdhr_41218977,301,44,55835.7915243292,0.26996206044557464,-1.5956944689343737,-1.4024701941492876,2
6,nhdhr_40517436,303,45,42446.2986491767,0.2989728718367439,-1.586255353837756,-1.569228485527424,2
7,nhdhr_41000733,306,45,53808.3717652229,0.3341439915127338,-1.57046173930076,-1.4249657459468925,2
8,nhdhr_40984425,307,46,89071.14028639109,0.34272439740803556,-1.5625605545505947,-1.1184202271648953,2
10,nhdhr_41003669,310,46,1398006.7743353,0.38155869182479674,-1.562383793702508,0.5562263176161932,11
11,nhdhr_{C417DF4F-284D-423F-81C7-4B98CFC4309F},312,46,367814.365894954,0.4077381333901706,-1.5594069246141014,-0.255880680433894,11
14,nhdhr_63033671,313,44,444888.224257561,0.4135934519660869,-1.5911919935943253,-0.14017050360005817,11
17,nhdhr_133132566,319,46,760222.5008578859,0.4943470646258996,-1.560355789717191,0.18570524759046594,11
24,nhdhr_136275826,315,73,103517337.394319,0.4362141605041494,-1.0380073281155715,3.1744155853739335,9
26,nhdhr_41226257,301,43,337176.65661532,0.2774515223301417,-1.6107603758671605,-0.30877820191200644,11
28,nhdhr_40987537,307,45,96648.68163148311,0.34530762949244925,-1.5735052578402053,-1.068760970833198,2
29,nhdhr_41018599,309,47,1675996.45005422,0.36851869048571734,-1.5299843644254645,0.6665329040471687,8
30,nhdhr_63033567,310,46,74962.2902692177,0.3873911687479208,-1.5672775772712213,-1.2233074696022768,2
31,nhdhr_62965785,312,43,115224.49763238401,0.4077679343522706,-1.6162987245055151,-0.9618364274810467,2
32,nhdhr_63018309,313,44,53553.2499835535,0.4217815725575356,-1.6045356402995117,-1.4278563478390112,2
33,nhdhr_63036357,314,44,75740.3355358867,0.42815232924784846,-1.6026082832845712,-1.2170272201646215,2
35,nhdhr_63033453,314,47,264071.14045764896,0.43453569473351483,-1.5327761250584344,-0.4574195670162409,11
36,nhdhr_133132160,319,47,53240.0376777984,0.49410557173967073,-1.5435577565635947,-1.4314240212721434,2
37,nhdhr_133132581,320,46,55722.128946276396,0.49572561576472035,-1.5605839621501132,-1.403709579137719,2
38,nhdhr_133132649,320,46,294842.796210043,0.497026527219963,-1.5635323210408238,-0.39037952139158283,11
39,nhdhr_63033697,314,44,1399748.75003566,0.4253682462223607,-1.6046478917285216,0.556983710771111,11
40,nhdhr_120024421,301,47,427774.597847218,0.2759249263137772,-1.53444549985341,-0.1640288448198289,11
41,nhdhr_40512880,305,45,93546.76716530141,0.32664458712720795,-1.5714716230341208,-1.088601680257183,2
42,nhdhr_41000731,306,45,72991.31835845861,0.3336927105570513,-1.5701231339372839,-1.239513235254416,2
44,nhdhr_41011591,307,47,84668.3590371786,0.34202588493424263,-1.5461830116090265,-1.1492528537131794,2
45,nhdhr_63033541,310,46,2246173.19772094,0.38723656094907005,-1.5643741512846676,0.8446312365143605,8
47,nhdhr_63033557,311,46,614025.515677584,0.3939105649058258,-1.567120631371141,0.05580537073436891,11
48,nhdhr_62997987,311,46,54650.7629296109,0.3944029791151786,-1.5649870835463096,-1.4155176261777196,2
49,nhdhr_62997377,311,46,1368749.95354834,0.396834032690486,-1.557287525246516,0.5433627529539269,11
50,nhdhr_63030367,312,44,69226.0395582784,0.40817524873697414,-1.6007893733832337,-1.2717265210918403,2
