,site_id,FType,FCode,x,y,area_m2,lon,lat,elevation
2789,nhdhr_48794466,390,39004,285,103,38173.2729007378,-89.32909757726028,37.98865621917039,128
2801,nhdhr_49234425,390,39004,290,101,38292.9436659068,-88.64405751934366,37.69169017630087,118
1596,nhdhr_112050779,390,39009,349,17,38322.1650011167,-81.332601275452,27.23530094213358,26
2749,nhdhr_48802158,390,39004,285,102,38681.6695465981,-89.25780075319756,37.84851282486454,124
10267,nhdhr_26059064,390,39004,400,123,38772.3218116341,-74.91162308298959,40.40613412400917,46
893,nhdhr_112029563,390,39004,347,27,38902.4666723572,-81.58697152902147,28.47662386022485,32
1838,nhdhr_107777679,390,39004,351,29,39107.9389763316,-81.10013283772074,28.62590516178768,17
1531,nhdhr_117035503,436,43600,345,12,39160.6529034525,-81.82483252633934,26.574210822041746,4
8405,nhdhr_81002917,390,39004,266,181,39244.214523891,-91.72031902646009,47.71126459589583,487
9017,nhdhr_80995375,390,39004,273,184,39275.0209708307,-90.85063616785018,48.071630981257975,535
2020,nhdhr_112027809,390,39009,348,28,39290.5149867013,-81.3782929919102,28.5345269612849,25
8303,nhdhr_34126978,390,39004,252,160,39349.950264703904,-93.38749997394883,45.06088436731887,271
783,nhdhr_129951126,390,39004,326,44,39379.3475708216,-84.19243239468183,30.580449031786962,40
1718,nhdhr_68032029,390,39004,342,30,39421.5627624318,-82.14864759295627,28.758528695953316,12
4970,nhdhr_155642710,390,39009,316,130,39482.1184876412,-85.39222333665224,41.37332988940064,276
1697,nhdhr_58673397,436,43600,340,26,39493.2766845338,-82.49752890110004,28.37038301066911,17
9397,nhdhr_120020241,390,39004,252,157,39522.8156262729,-93.4259283933747,44.71693773237032,280
10131,nhdhr_61762185,390,39004,403,129,39631.569658041,-74.52232735802288,41.246590037701395,305
6711,nhdhr_114545041,390,39004,271,180,39674.8469198346,-91.0683277875992,47.59388171823022,534
1652,nhdhr_129755296,390,39004,326,43,39693.9743372705,-84.22507714351629,30.399331217164608,19
4349,nhdhr_155642096,390,39009,317,132,39797.5699975714,-85.32599044937774,41.506893268392794,283
9796,nhdhr_148191482,390,39004,202,154,39816.6777550116,-99.73063074667728,44.32141040260203,578
10939,nhdhr_152804873,390,39009,346,70,39819.756256666,-81.67210648282469,33.8411379767713,188
11411,nhdhr_96070303,390,39004,231,59,39838.6432130579,-96.0617486311656,32.45262038642378,115
984,nhdhr_122169687,390,39009,315,44,39848.7755874544,-85.5588148201149,30.58836881432219,65
115,nhdhr_63026399,390,39009,312,46,39946.6426430568,-85.88879505671808,30.79226457622516,19
12393,nhdhr_139259937,390,39004,295,153,39951.6844655126,-88.04501503121868,44.14644999036413,255
83,nhdhr_41218869,390,39004,301,44,40051.061672058,-87.32962400382971,30.58701766706389,26
1901,nhdhr_58675579,390,39004,338,25,40105.816435093104,-82.63337525766192,28.242221801832965,9
1223,nhdhr_133703000,390,39004,334,44,40163.8448721906,-83.17478942274457,30.609306046798963,41
944,nhdhr_112046427,390,39009,349,20,40174.9753316101,-81.25819171534674,27.60300008326388,32
1589,nhdhr_107742889,390,39004,348,29,40178.4208925832,-81.39261175249091,28.637010408127562,27
1736,nhdhr_112643304,390,39004,344,36,40178.7524977401,-81.96999617444995,29.55558644347177,21
1777,nhdhr_112033425,390,39009,346,27,40209.2675838717,-81.65886667617718,28.38230373573323,33
7320,nhdhr_114540959,390,39004,276,183,40219.4446059447,-90.41935952327822,47.982332372802674,596
847,nhdhr_78200607,436,43600,344,14,40257.4125625296,-81.97488804150203,26.84450766293618,5
7776,nhdhr_91691379,390,39004,257,160,40258.855705265,-92.86698429572391,45.01604354533084,269
1543,nhdhr_112647326,390,39009,346,27,40264.044590082005,-81.71839625784187,28.412228121376945,34
1687,nhdhr_68758344,390,39004,339,25,40290.28084906,-82.58864020393234,28.17652442714,13
8056,nhdhr_114336515,390,39004,231,166,40312.9641901981,-96.08018285598386,45.76527268651128,326
11221,nhdhr_{48E6E3F2-BF7B-4314-9FA3-1CFAFD929DD2},390,39004,416,153,40333.076987626,-72.97387312528917,44.1840516231774,453
894,nhdhr_107832143,390,39009,347,30,40356.2262029462,-81.56986120628669,28.77066668484916,42
10099,nhdhr_{22431A17-1807-4885-BFD8-2BF53521E448},390,39004,423,157,40384.8042137437,-72.05964582058944,44.699727403616436,483
8301,nhdhr_34126462,390,39004,252,160,40396.571313329,-93.39985946121806,45.07154630435813,269
2013,nhdhr_107742879,390,39009,348,29,40419.6321414895,-81.46819540213862,28.662966875572085,25
880,nhdhr_112691380,390,39004,346,31,40462.879829064,-81.68083604644832,28.946471911873225,20
1032,nhdhr_41964089,390,39004,340,25,40465.015852266,-82.44186318183844,28.21952841383057,22
1533,nhdhr_117034847,436,43600,345,12,40469.422053597904,-81.82131102523913,26.6178863513598,4
1889,nhdhr_129754828,390,39004,326,43,40483.1117902771,-84.15279168887328,30.423305159584324,24
3675,nhdhr_136693185,390,39009,439,135,40488.5483616772,-70.00033964538596,41.93272620002731,3
51,nhdhr_62965803,390,39004,312,43,40521.9041889012,-85.88362904027831,30.427827054005327,14
2440,nhdhr_107779457,390,39009,350,31,40524.201724249906,-81.2375004303909,28.905444499321934,13
7113,nhdhr_59747403,390,39004,250,171,40585.302841309196,-93.68480807946985,46.45129473703961,387
11558,nhdhr_155351259,390,39009,314,130,40593.1070170477,-85.66804522531253,41.32234700096685,262
65,nhdhr_38952979,436,43600,301,47,40656.5952022802,-87.27423189462542,30.93623390532425,10
2089,nhdhr_129755477,390,39004,326,42,40657.2496531154,-84.13972231941909,30.372732474749277,13
6518,nhdhr_34129033,390,39004,251,160,40706.8096313253,-93.58821530954977,45.010748392448775,300
1239,nhdhr_58679405,390,39004,339,26,40719.6744294614,-82.62336909073417,28.347477784863386,7
6725,nhdhr_114543887,390,39004,274,182,40720.1336121075,-90.7405133565784,47.75159336639595,504
659,nhdhr_120819603,390,39004,154,122,40755.256294818595,-105.6689049967688,40.27791701676485,3311
2430,nhdhr_112027929,390,39009,349,28,40756.1035039425,-81.3323887729533,28.510339153198032,26
1205,nhdhr_{EF4D04C6-7C6E-4F50-9C5E-34C39210A7EF},436,43600,316,44,40760.118116997204,-85.41126474461797,30.525472596755012,52
2796,nhdhr_48806190,390,39004,287,102,40785.737093661,-89.0825593987384,37.77101413540935,129
2090,nhdhr_129754378,390,39004,327,43,40788.700839117206,-84.05704204902428,30.45859250294593,24
900,nhdhr_112029049,390,39004,347,27,40803.2420403836,-81.5325553935347,28.483336430753532,29
9296,nhdhr_72862729,390,39004,244,175,40819.8721525706,-94.47945453574863,46.984585156835756,428
12071,nhdhr_76243212,390,39004,269,161,40846.491651643104,-91.35667380578121,45.21892870177927,339
11773,nhdhr_129045087,390,39004,24,184,40848.5208484312,-121.92296320765709,48.05968727445014,157
3415,nhdhr_150612812,390,39004,438,167,40866.3295615762,-70.24769562389358,45.8798105017434,548
1525,nhdhr_78643653,390,39004,344,24,40910.696793690295,-81.91371391606533,28.07191215992609,38
10175,nhdhr_167296467,436,43600,400,127,40933.0473399907,-74.9397597745872,40.978142200774435,107
1230,nhdhr_113616531,390,39004,337,39,40963.1822906546,-82.80044087817231,29.884005375678075,20
978,nhdhr_35361065,390,39004,310,42,40999.282164795295,-86.1844876491526,30.33526960326245,1
3083,nhdhr_36913486,390,39004,242,106,41028.684308267206,-94.63470974467728,38.35831223067871,262
1158,nhdhr_125971298,390,39004,349,32,41133.6478024414,-81.29345832534692,29.08852850520133,18
174,nhdhr_122507901,436,43600,120,61,41175.2480773255,-109.96506218302102,32.707702243969685,2663
3599,nhdhr_{26FD46E6-DE81-4EFA-BC0D-784B5986876F},390,39004,415,144,41225.9639201779,-73.03267882310155,43.05253134896491,719
5492,nhdhr_80997441,390,39004,269,184,41291.920897264,-91.33156727405468,48.01353568051135,446
1987,nhdhr_108150235,436,43600,346,43,41303.512402385495,-81.64251070775217,30.49388127180407,6
6683,nhdhr_81002459,390,39004,268,181,41315.662715576604,-91.47538119749363,47.73833596792893,495
1911,nhdhr_58677805,390,39004,339,26,41363.354692153596,-82.53931934100439,28.33508775939744,17
1450,nhdhr_114969041,390,39004,333,38,41402.4853099436,-83.33056857598349,29.7763059329021,2
8106,nhdhr_86367951,390,39004,236,164,41411.4263563957,-95.4940179686315,45.53043145401582,374
1311,nhdhr_78686571,390,39009,346,24,41435.7905590069,-81.63136182576145,28.08045770172576,37
2463,nhdhr_136109854,390,39004,344,66,41435.817372839905,-81.89323139594266,33.29967405498994,31
1681,nhdhr_68746532,390,39009,339,24,41470.5869629271,-82.60817992769927,28.09999205175387,9
1807,nhdhr_112030197,390,39009,348,27,41490.939244050496,-81.47828823817804,28.446165317143148,29
1585,nhdhr_112030063,390,39009,348,27,41612.0295463428,-81.40666252380399,28.44038283868317,29
2419,nhdhr_112027985,390,39009,349,28,41619.3961519934,-81.36118514801468,28.508064602278804,27
3723,nhdhr_136017695,390,39009,422,142,41628.4820863754,-72.1443269576639,42.76638735554735,322
